district_id_raw,partisan_lean_538,district_id,pvi_string,pvi_numeric
OH-15,-11.47044,OH-15,R+11.5,-11.47
OK-1,-28.18958,OK-01,R+28.2,-28.19
OK-2,-54.82804,OK-02,R+54.8,-54.83
OK-3,-46.74454,OK-03,R+46.7,-46.74
OK-4,-35.24428,OK-04,R+35.2,-35.24
OK-5,-23.90774,OK-05,R+23.9,-23.91
OR-1,34.3844,OR-01,D+34.4,34.38
OR-2,-27.74686,OR-02,R+27.7,-27.75
OR-3,43.01587,OR-03,D+43.0,43.02
OR-4,8.922438,OR-04,D+8.9,8.92
OR-5,3.332605,OR-05,D+3.3,3.33
OR-6,7.193871,OR-06,D+7.2,7.19
PA-1,-0.2395934,PA-01,R+0.2,-0.24
PA-2,41.22441,PA-02,D+41.2,41.22
PA-3,77.43448,PA-03,D+77.4,77.43
PA-4,13.55191,PA-04,D+13.6,13.55
PA-5,27.68171,PA-05,D+27.7,27.68
PA-6,9.230706,PA-06,D+9.2,9.23
PA-7,-4.155027,PA-07,R+4.2,-4.16
PA-8,-8.123094,PA-08,R+8.1,-8.12
PA-9,-40.82453,PA-09,R+40.8,-40.82
PA-10,-9.413727,PA-10,R+9.4,-9.41
PA-11,-26.02409,PA-11,R+26.0,-26.02
PA-12,15.15441,PA-12,D+15.2,15.15
PA-13,-48.95369,PA-13,R+49.0,-48.95
PA-14,-35.09616,PA-14,R+35.1,-35.1
PA-15,-40.12046,PA-15,R+40.1,-40.12
PA-16,-24.43703,PA-16,R+24.4,-24.44
PA-17,0.6665065,PA-17,D+0.7,0.67
RI-1,32.00424,RI-01,D+32.0,32.0
RI-2,16.15041,RI-02,D+16.2,16.15
SC-1,-17.22457,SC-01,R+17.2,-17.22
SC-2,-19.86564,SC-02,R+19.9,-19.87
SC-3,-44.16833,SC-03,R+44.2,-44.17
SC-4,-26.80227,SC-04,R+26.8,-26.8
SC-5,-25.75934,SC-05,R+25.8,-25.76
SC-6,24.6458,SC-06,D+24.6,24.65
SC-7,-25.89097,SC-07,R+25.9,-25.89
SD-1,-32.0032,SD-01,R+32.0,-32.0
TN-1,-60.55824,TN-01,R+60.6,-60.56
TN-2,-36.0464,TN-02,R+36.0,-36.05
TN-3,-37.66483,TN-03,R+37.7,-37.66
TN-4,-45.6941,TN-04,R+45.7,-45.69
TN-5,-15.4811,TN-05,R+15.5,-15.48
TN-6,-35.15623,TN-06,R+35.2,-35.16
TN-7,-20.80583,TN-07,R+20.8,-20.81
TN-8,-43.43803,TN-08,R+43.4,-43.44
TN-9,42.61397,TN-09,D+42.6,42.61
TX-1,-50.44604,TX-01,R+50.4,-50.45
TX-2,-30.17885,TX-02,R+30.2,-30.18
TX-3,-23.43555,TX-03,R+23.4,-23.44
TX-4,-31.02175,TX-04,R+31.0,-31.02
TX-5,-27.25241,TX-05,R+27.3,-27.25
TX-6,-24.66288,TX-06,R+24.7,-24.66
TX-7,24.03019,TX-07,D+24.0,24.03
TX-8,-26.18461,TX-08,R+26.2,-26.18
TX-9,49.13762,TX-09,D+49.1,49.14
TX-10,-24.10808,TX-10,R+24.1,-24.11
TX-11,-41.39535,TX-11,R+41.4,-41.4
TX-12,-24.75644,TX-12,R+24.8,-24.76
TX-13,-45.57151,TX-13,R+45.6,-45.57
TX-14,-35.69578,TX-14,R+35.7,-35.7
TX-15,-0.0693792,TX-15,R+0.1,-0.07
TX-16,32.62066,TX-16,D+32.6,32.62
TX-17,-27.51198,TX-17,R+27.5,-27.51
TX-18,42.68352,TX-18,D+42.7,42.68
TX-19,-53.77625,TX-19,R+53.8,-53.78
TX-20,26.46199,TX-20,D+26.5,26.46
TX-21,-24.89041,TX-21,R+24.9,-24.89
TX-22,-24.11781,TX-22,R+24.1,-24.12
TX-23,-13.26878,TX-23,R+13.3,-13.27
TX-24,-22.75551,TX-24,R+22.8,-22.76
TX-25,-30.46035,TX-25,R+30.5,-30.46
TX-26,-26.55441,TX-26,R+26.6,-26.55
TX-27,-28.26985,TX-27,R+28.3,-28.27
TX-28,6.08272,TX-28,D+6.1,6.08
TX-29,35.00082,TX-29,D+35.0,35.0
TX-30,50.44692,TX-30,D+50.4,50.45
TX-31,-27.78261,TX-31,R+27.8,-27.78
TX-32,24.14752,TX-32,D+24.1,24.15
TX-33,43.78645,TX-33,D+43.8,43.79
TX-34,16.98242,TX-34,D+17.0,16.98
TX-35,37.71552,TX-35,D+37.7,37.72
TX-36,-35.29595,TX-36,R+35.3,-35.3
TX-37,43.85196,TX-37,D+43.9,43.85
TX-38,-27.06054,TX-38,R+27.1,-27.06
UT-1,-24.473,UT-01,R+24.5,-24.47
UT-2,-23.21043,UT-02,R+23.2,-23.21
UT-3,-26.02263,UT-03,R+26.0,-26.02
UT-4,-30.4835,UT-04,R+30.5,-30.48
VA-1,-14.65879,VA-01,R+14.7,-14.66
