district_id_raw,pvi_string,district_id,pvi_numeric
NY-1,R+10.44,NY-01,-10.44
NY-10,D+53.46,NY-10,53.46
NY-11,R+7.51,NY-11,-7.51
NY-12,D+62.59,NY-12,62.59
NY-13,D+85.52,NY-13,85.52
NY-14,D+56.99,NY-14,56.99
NY-15,D+88.09,NY-15,88.09
NY-16,D+48.72,NY-16,48.72
NY-17,D+16.16,NY-17,16.16
NY-18,R+2.24,NY-18,-2.24
NY-19,R+4.88,NY-19,-4.88
NY-2,R+7.01,NY-02,-7.01
NY-20,D+13.39,NY-20,13.39
NY-21,R+9.64,NY-21,-9.64
NY-22,R+12.88,NY-22,-12.88
NY-23,R+12.68,NY-23,-12.68
NY-24,D+5.29,NY-24,5.29
NY-25,D+14.99,NY-25,14.99
NY-26,D+20.52,NY-26,20.52
NY-27,R+22.88,NY-27,-22.88
NY-3,D+2.52,NY-03,2.52
NY-4,D+8.49,NY-04,8.49
NY-5,D+73.42,NY-05,73.42
NY-6,D+31.86,NY-06,31.86
NY-7,D+74.62,NY-07,74.62
NY-8,D+71.39,NY-08,71.39
NY-9,D+67.49,NY-09,67.49
OH-1,R+9.42,OH-01,-9.42
OH-10,R+8.48,OH-10,-8.48
OH-11,D+61.42,OH-11,61.42
OH-12,R+14.02,OH-12,-14.02
OH-13,D+10.52,OH-13,10.52
OH-14,R+11.75,OH-14,-11.75
OH-15,R+15.12,OH-15,-15.12
OH-16,R+16.85,OH-16,-16.85
OH-2,R+17.38,OH-02,-17.38
OH-3,D+36.22,OH-03,36.22
OH-4,R+30.05,OH-04,-30.05
OH-5,R+22.98,OH-05,-22.98
OH-6,R+35.55,OH-06,-35.55
OH-7,R+25.95,OH-07,-25.95
OH-8,R+34.48,OH-08,-34.48
OH-9,D+24.05,OH-09,24.05
OK-1,R+28.1,OK-01,-28.1
OK-2,R+43.7,OK-02,-43.7
OK-3,R+49.5,OK-03,-49.5
OK-4,R+34.76,OK-04,-34.76
OK-5,R+13.5,OK-05,-13.5
