district_id,pvi_string,pvi_numeric,incumbent_party
FL-08,R+11,-11.0,R
FL-09,D+4,4.0,D
FL-10,D+13,13.0,D
FL-11,R+8,-8.0,R
FL-12,R+17,-17.0,R
FL-13,R+5,-5.0,R
FL-14,D+5,5.0,D
FL-15,R+5,-5.0,R
FL-16,R+7,-7.0,R
FL-17,R+11,-11.0,R
FL-18,R+14,-14.0,R
FL-19,R+14,-14.0,R
FL-20,D+22,22.0,D
FL-21,R+7,-7.0,R
FL-22,D+4,4.0,D
FL-23,D+2,2.0,D
FL-24,D+18,18.0,D
FL-25,D+5,5.0,D
FL-26,R+16,-16.0,R
FL-27,R+6,-6.0,R
FL-28,R+10,-10.0,R
GA-01,R+8,-8.0,R
GA-02,D+4,4.0,D
GA-03,R+15,-15.0,R
GA-04,D+27,27.0,D
GA-05,D+36,36.0,D
GA-06,D+25,25.0,D
GA-07,R+11,-11.0,R
GA-08,R+15,-15.0,R
GA-09,R+17,-17.0,R
GA-10,R+11,-11.0,R
GA-11,R+12,-12.0,R
GA-12,R+7,-7.0,R
GA-13,D+21,21.0,D
GA-14,R+19,-19.0,R
HI-01,D+13,13.0,D
HI-02,D+12,12.0,D
ID-01,R+22,-22.0,R
ID-02,R+13,-13.0,R
IL-01,D+18,18.0,D
IL-02,D+18,18.0,D
IL-03,D+17,17.0,D
IL-04,D+17,17.0,D
IL-05,D+19,19.0,D
IL-06,D+3,3.0,D
IL-07,D+34,34.0,D
IL-08,D+5,5.0,D
IL-09,D+19,19.0,D
IL-10,D+12,12.0,D
IL-11,D+6,6.0,D
IL-12,R+22,-22.0,R
IL-13,D+5,5.0,D
IL-14,D+3,3.0,D
IL-15,R+20,-20.0,R
IL-16,R+11,-11.0,R
IL-17,D+3,3.0,D
IN-01,D+1,1.0,D
IN-02,R+13,-13.0,R
IN-03,R+16,-16.0,R
IN-04,R+15,-15.0,R
IN-05,R+8,-8.0,R
IN-06,R+16,-16.0,R
IN-07,D+21,21.0,D
IN-08,R+18,-18.0,R
IN-09,R+15,-15.0,R
IA-01,R+4,-4.0,R
IA-02,R+4,-4.0,R
IA-03,R+2,-2.0,R
IA-04,R+15,-15.0,R
KS-01,R+16,-16.0,R
KS-02,R+10,-10.0,R
KS-03,D+2,2.0,D
KS-04,R+12,-12.0,R
KY-01,R+23,-23.0,R
KY-02,R+20,-20.0,R
KY-03,D+10,10.0,D
KY-04,R+18,-18.0,R
KY-05,R+32,-32.0,R
KY-06,R+7,-7.0,R
LA-01,R+19,-19.0,R
LA-02,D+17,17.0,D
LA-03,R+22,-22.0,R
LA-04,R+26,-26.0,R
LA-05,R+18,-18.0,R
LA-06,D+8,8.0,D
ME-01,D+11,11.0,D
ME-02,R+4,-4.0,D
MD-01,R+8,-8.0,R
MD-02,D+10,10.0,D
MD-03,D+12,12.0,D
MD-04,D+39,39.0,D
MD-05,D+17,17.0,D
MD-06,D+3,3.0,D
MD-07,D+31,31.0,D
MD-08,D+30,30.0,D
MA-01,D+8,8.0,D
MA-02,D+13,13.0,D
MA-03,D+11,11.0,D
MA-04,D+11,11.0,D
MA-05,D+24,24.0,D
MA-06,D+11,11.0,D
MA-07,D+34,34.0,D
MA-08,D+15,15.0,D
MA-09,D+6,6.0,D
MI-01,R+11,-11.0,R
MI-02,R+15,-15.0,R
MI-03,D+4,4.0,D
MI-04,R+3,-3.0,R
MI-05,R+13,-13.0,R
MI-06,D+12,12.0,D
MI-07,EVEN,0.0,R
MI-08,R+1,-1.0,D
MI-09,R+16,-16.0,R
MI-10,R+3,-3.0,R
MI-11,D+9,9.0,D
MI-12,D+21,21.0,D
MI-13,D+22,22.0,D
MN-01,R+6,-6.0,R
MN-02,D+3,3.0,D
MN-03,D+11,11.0,D
MN-04,D+18,18.0,D
MN-05,D+32,32.0,D
MN-06,R+10,-10.0,R
MN-07,R+18,-18.0,R
MN-08,R+7,-7.0,R
MS-01,R+18,-18.0,R
MS-02,D+11,11.0,D
MS-03,R+14,-14.0,R
MS-04,R+21,-21.0,R
MO-01,D+29,29.0,D
MO-02,R+4,-4.0,R
MO-03,R+13,-13.0,R
MO-04,R+21,-21.0,R
MO-05,D+12,12.0,D
MO-06,R+19,-19.0,R
MO-07,R+21,-21.0,R
MO-08,R+27,-27.0,R
MT-01,R+5,-5.0,R
MT-02,R+15,-15.0,R
NE-01,R+6,-6.0,R
NE-02,D+3,3.0,R
NE-03,R+27,-27.0,R
NV-01,D+2,2.0,D
NV-02,R+7,-7.0,R
NV-03,D+1,1.0,D
NV-04,D+2,2.0,D
NH-01,D+2,2.0,D
NH-02,D+2,2.0,D
NJ-01,D+10,10.0,D
NJ-02,R+5,-5.0,R
NJ-03,D+5,5.0,D
NJ-04,R+14,-14.0,R
NJ-05,D+2,2.0,D
NJ-06,D+5,5.0,D
NJ-07,EVEN,0.0,R
NJ-08,D+15,15.0,D
NJ-09,D+2,2.0,D
NJ-10,D+27,27.0,D
NJ-11,D+5,5.0,D
NJ-12,D+13,13.0,D
NM-01,D+7,7.0,D
NM-02,EVEN,0.0,D
NM-03,D+3,3.0,D
NY-01,R+4,-4.0,R
NY-02,R+6,-6.0,R
NY-03,EVEN,0.0,D
NY-04,D+2,2.0,D
NY-05,D+24,24.0,D
NY-06,D+6,6.0,D
NY-07,D+25,25.0,D
NY-08,D+24,24.0,D
NY-09,D+22,22.0,D
NY-10,D+32,32.0,D
NY-11,R+10,-10.0,R
NY-12,D+33,33.0,D
NY-13,D+32,32.0,D
NY-14,D+19,19.0,D
NY-15,D+27,27.0,D
NY-16,D+18,18.0,D
NY-17,D+1,1.0,R
NY-18,D+2,2.0,D
NY-19,D+1,1.0,D
NY-20,D+8,8.0,D
NY-21,R+10,-10.0,R
NY-22,D+4,4.0,D
NY-23,R+10,-10.0,R
NY-24,R+11,-11.0,R
NY-25,D+10,10.0,D
NY-26,D+11,11.0,D
NC-01,R+1,-1.0,D
NC-02,D+17,17.0,D
NC-03,R+10,-10.0,R
NC-04,D+23,23.0,D
NC-05,R+9,-9.0,R
NC-06,R+9,-9.0,R
NC-07,R+7,-7.0,R
NC-08,R+10,-10.0,R
NC-09,R+8,-8.0,R
NC-10,R+9,-9.0,R
NC-11,R+5,-5.0,R
NC-12,D+24,24.0,D
NC-13,R+8,-8.0,R
NC-14,R+8,-8.0,R
ND-01,R+18,-18.0,R
OH-01,D+3,3.0,D
OH-02,R+24,-24.0,R
OH-03,D+21,21.0,D
OH-04,R+18,-18.0,R
OH-05,R+14,-14.0,R
OH-06,R+16,-16.0,R
OH-07,R+5,-5.0,R
OH-08,R+12,-12.0,R
OH-09,R+3,-3.0,D
OH-10,R+3,-3.0,R
OH-11,D+28,28.0,D
OH-12,R+16,-16.0,R
OH-13,EVEN,0.0,D
OH-14,R+9,-9.0,R
OH-15,R+4,-4.0,R
OK-01,R+11,-11.0,R
OK-02,R+28,-28.0,R
OK-03,R+23,-23.0,R
OK-04,R+17,-17.0,R
OK-05,R+9,-9.0,R
OR-01,D+20,20.0,D
OR-02,R+14,-14.0,R
OR-03,D+24,24.0,D
OR-04,D+6,6.0,D
OR-05,D+4,4.0,D
OR-06,D+6,6.0,D
PA-01,D+1,1.0,R
PA-02,D+19,19.0,D
PA-03,D+40,40.0,D
PA-04,D+8,8.0,D
PA-05,D+15,15.0,D
PA-06,D+6,6.0,D
PA-07,R+1,-1.0,R
PA-08,R+4,-4.0,R
PA-09,R+19,-19.0,R
PA-10,R+3,-3.0,R
PA-11,R+11,-11.0,R
PA-12,D+10,10.0,D
PA-13,R+23,-23.0,R
PA-14,R+17,-17.0,R
PA-15,R+19,-19.0,R
PA-16,R+11,-11.0,R
PA-17,D+3,3.0,D
RI-01,D+12,12.0,D
RI-02,D+4,4.0,D
SC-01,R+6,-6.0,R
SC-02,R+7,-7.0,R
SC-03,R+21,-21.0,R
SC-04,R+11,-11.0,R
SC-05,R+11,-11.0,R
SC-06,D+13,13.0,D
SC-07,R+12,-12.0,R
SD-01,R+15,-15.0,R
TN-01,R+29,-29.0,R
TN-02,R+17,-17.0,R
TN-03,R+18,-18.0,R
TN-04,R+21,-21.0,R
TN-05,R+8,-8.0,R
TN-06,R+17,-17.0,R
TN-07,R+10,-10.0,R
TN-08,R+21,-21.0,R
TN-09,D+23,23.0,D
TX-01,R+25,-25.0,R
TX-02,R+12,-12.0,R
TX-03,R+10,-10.0,R
TX-04,R+16,-16.0,R
TX-05,R+13,-13.0,R
TX-06,R+14,-14.0,R
TX-07,D+12,12.0,D
TX-08,R+16,-16.0,R
TX-09,D+24,24.0,D
TX-10,R+12,-12.0,R
TX-11,R+22,-22.0,R
TX-12,R+11,-11.0,R
TX-13,R+24,-24.0,R
TX-14,R+17,-17.0,R
TX-15,R+7,-7.0,R
TX-16,D+11,11.0,D
TX-17,R+14,-14.0,R
TX-18,D+21,21.0,D
TX-19,R+25,-25.0,R
TX-20,D+12,12.0,D
TX-21,R+11,-11.0,R
TX-22,R+9,-9.0,R
TX-23,R+7,-7.0,R
TX-24,R+7,-7.0,R
TX-25,R+18,-18.0,R
TX-26,R+11,-11.0,R
TX-27,R+14,-14.0,R
TX-28,R+2,-2.0,D
TX-29,D+12,12.0,D
TX-30,D+25,25.0,D
TX-31,R+11,-11.0,R
TX-32,D+13,13.0,D
TX-33,D+19,19.0,D
TX-34,EVEN,0.0,D
TX-35,D+19,19.0,D
TX-36,R+18,-18.0,R
TX-37,D+26,26.0,D
TX-38,R+10,-10.0,R
UT-01,R+10,-10.0,R
UT-02,R+10,-10.0,R
UT-03,R+10,-10.0,R
UT-04,R+14,-14.0,R
VT-01,D+17,17.0,D
VA-01,R+3,-3.0,R
VA-02,EVEN,0.0,R
VA-03,D+18,18.0,D
VA-04,D+17,17.0,D
VA-05,R+6,-6.0,R
VA-06,R+12,-12.0,R
VA-07,D+2,2.0,D
VA-08,D+26,26.0,D
VA-09,R+22,-22.0,R
VA-10,D+6,6.0,D
VA-11,D+18,18.0,D
WA-01,D+15,15.0,D
WA-02,D+12,12.0,D
WA-03,R+2,-2.0,D
WA-04,R+10,-10.0,R
WA-05,R+5,-5.0,R
WA-06,D+10,10.0,D
WA-07,D+39,39.0,D
WA-08,D+3,3.0,D
WA-09,D+22,22.0,D
WA-10,D+9,9.0,D
WV-01,R+22,-22.0,R
WV-02,R+20,-20.0,R
WI-01,R+2,-2.0,R
WI-02,D+21,21.0,D
WI-03,R+3,-3.0,R
WI-04,D+26,26.0,D
WI-05,R+11,-11.0,R
WI-06,R+8,-8.0,R
WI-07,R+11,-11.0,R
WI-08,R+8,-8.0,R
WY-01,R+23,-23.0,R
