district_id,dem_votes,rep_votes,other_votes,total_votes,dem_pct,rep_pct,margin,winner_party
GA-05,243687,51769,0,295456,82.48,17.52,64.96000000000001,D
GA-06,125612,206886,0,332498,37.78,62.22,-24.439999999999998,R
GA-07,143063,91962,14,235039,60.87,39.13,21.739999999999995,D
GA-08,81886,178700,0,260586,31.42,68.58,-37.16,R
GA-09,81318,212820,0,294138,27.65,72.35,-44.699999999999996,R
GA-10,109107,198523,0,307630,35.47,64.53,-29.060000000000002,R
GA-11,113571,190086,0,303657,37.4,62.6,-25.200000000000003,R
GA-12,107148,158047,0,265195,40.4,59.6,-19.200000000000003,R
GA-13,216388,48228,0,264616,81.77,18.23,63.53999999999999,D
GA-14,88189,170162,0,258351,34.14,65.86,-31.72,R
HI-01,143546,51217,7615,202378,73.7,26.3,47.400000000000006,D
HI-02,128407,72874,15704,216985,63.79,36.21,27.58,D
IA-01,142173,162947,4616,309736,46.6,53.4,-6.799999999999997,R
IA-02,145940,172181,3386,321507,45.88,54.12,-8.239999999999995,R
IA-03,154117,156262,4660,315039,49.65,50.35,-0.7000000000000028,R
IA-04,84230,186467,13437,284134,31.12,68.88,-37.75999999999999,R
ID-01,82261,222901,7280,312442,26.96,73.04,-46.080000000000005,R
ID-02,98736,172450,0,271186,36.41,63.59,-27.180000000000007,R
IL-01,159142,78258,25,237425,67.04,32.96,34.080000000000005,D
IL-02,140414,68761,0,209175,67.13,32.87,34.26,D
IL-03,121764,55995,0,177759,68.5,31.5,37.0,D
IL-04,91036,37352,4659,133047,70.91,29.09,41.81999999999999,D
IL-05,190999,79112,4439,274550,70.71,29.29,41.419999999999995,D
IL-06,150496,126351,12,276859,54.36,45.64,8.719999999999999,D
IL-07,167650,0,96,167746,100.0,0.0,100.0,D
IL-08,117880,89335,0,207215,56.89,43.11,13.780000000000001,D
IL-09,179615,70915,0,250530,71.69,28.31,43.379999999999995,D
IL-10,152566,89599,0,242165,63.0,37.0,26.0,D
IL-11,149172,115069,0,264241,56.45,43.55,12.900000000000006,D
IL-12,72791,218379,1,291171,25.0,75.0,-50.0,R
IL-13,141788,108646,16,250450,56.62,43.38,13.239999999999995,D
IL-14,128141,108451,8,236600,54.16,45.84,8.319999999999993,D
IL-15,86396,213007,0,299403,28.86,71.14,-42.28,R
IL-16,100325,197621,0,297946,33.67,66.33,-32.66,R
IL-17,121186,111931,6,233123,51.99,48.01,3.980000000000004,D
IN-01,112656,100542,9,213207,52.84,47.16,5.680000000000007,D
IN-02,62891,125313,5869,194073,33.42,66.58,-33.16,R
IN-03,60577,131579,9386,201542,31.52,68.48,-36.96000000000001,R
IN-04,62834,134864,0,197698,31.78,68.22,-36.44,R
IN-05,93434,146575,0,240009,38.93,61.07,-22.14,R
IN-06,62838,130686,0,193524,32.47,67.53,-35.06,R
IN-07,117309,53631,4240,175180,68.63,31.37,37.25999999999999,D
IN-08,68109,141995,5936,216040,32.42,67.58,-35.16,R
IN-09,75700,143166,6410,225276,34.59,65.41,-30.819999999999993,R
KS-01,77092,161333,0,238425,32.33,67.67,-35.34,R
KS-02,98852,134506,0,233358,42.36,57.64,-15.280000000000001,R
KS-03,165527,128839,6928,301294,56.23,43.77,12.459999999999994,D
KS-04,83851,144889,0,228740,36.66,63.34,-26.680000000000007,R
KY-01,61701,184157,0,245858,25.1,74.9,-49.800000000000004,R
KY-02,66769,170487,0,237256,28.14,71.86,-43.72,R
KY-03,160920,98637,30,259587,62.0,38.0,24.0,D
KY-04,79977,167541,10111,257629,32.31,67.69,-35.379999999999995,R
KY-05,38549,177712,9,216270,17.83,82.17,-64.34,R
KY-06,83005,154762,9051,246818,34.91,65.09,-30.180000000000007,R
LA-01,61467,177670,4907,244044,25.7,74.3,-48.599999999999994,R
LA-02,158120,46927,0,205047,77.11,22.89,54.22,D
LA-03,44813,174864,4875,224552,20.4,79.6,-59.199999999999996,R
LA-04,0,1,0,1,0.0,100.0,-100.0,R
LA-05,54532,169021,0,223553,24.39,75.61,-51.22,R
LA-06,0,205219,30709,235928,0.0,100.0,-100.0,R
MA-01,157635,98386,7630,263651,61.57,38.43,23.14,D
MA-02,180639,91956,7476,280071,66.27,33.73,32.54,D
MA-03,154496,88585,8308,251389,63.56,36.44,27.120000000000005,D
MA-04,201882,0,89687,291569,100.0,0.0,100.0,D
MA-05,203994,71491,9396,284881,74.05,25.95,48.099999999999994,D
MA-06,198119,110770,14143,323032,64.14,35.86,28.28,D
MA-07,151825,27129,10876,189830,84.84,15.16,69.68,D
MA-08,189987,82126,12470,284583,69.82,30.18,39.63999999999999,D
MA-09,197823,136347,8285,342455,59.2,40.8,18.400000000000006,D
MD-01,126511,159673,7174,293358,44.21,55.79,-11.579999999999998,R
MD-02,158998,109075,361,268434,59.31,40.69,18.620000000000005,D
MD-03,175514,115801,287,291602,60.25,39.75,20.5,D
MD-04,144168,15441,400,160009,90.33,9.67,80.66,D
MD-05,182478,94000,442,276920,66.0,34.0,32.0,D
MD-06,140295,115771,332,256398,54.79,45.21,9.579999999999998,D
MD-07,151640,32737,424,184801,82.24,17.76,64.47999999999999,D
MD-08,211842,47965,4399,264206,81.54,18.46,63.080000000000005,D
ME-01,219753,129263,9122,358138,62.96,37.04,25.92,D
ME-02,1165136,1146142,344826,2656104,50.41,49.59,0.8199999999999932,D
MI-01,145403,233094,10102,388599,38.42,61.58,-23.159999999999997,R
MI-02,116452,216222,6847,339521,35.0,65.0,-30.0,R
MI-03,185989,142229,10770,338988,56.67,43.33,13.340000000000003,D
MI-04,143690,183936,10722,338348,43.86,56.14,-12.280000000000001,R
MI-05,110946,198020,8292,317258,35.91,64.09,-28.180000000000007,R
MI-06,241759,125167,1,366927,65.89,34.11,31.78,D
MI-07,192809,172624,7275,372708,52.76,47.24,5.519999999999996,D
MI-08,178322,143850,13657,335829,55.35,44.65,10.700000000000003,D
MI-09,123702,238300,10920,372922,34.17,65.83,-31.659999999999997,R
MI-10,157602,159202,9433,326237,49.75,50.25,-0.5,R
MI-11,224537,141642,0,366179,61.32,38.68,22.64,D
MI-12,196643,72888,8046,277577,72.96,27.04,45.919999999999995,D
MI-13,166650,56187,11607,234444,74.79,25.21,49.580000000000005,D
MN-01,125457,159621,11469,296547,44.01,55.99,-11.980000000000004,R
MN-02,165583,148576,11313,325472,52.71,47.29,5.420000000000002,D
MN-03,198883,134797,241,333921,59.6,40.4,19.200000000000003,D
MN-04,200055,95493,425,295973,67.69,32.31,35.379999999999995,D
MN-05,214224,70702,3280,288206,75.19,24.81,50.379999999999995,D
MN-06,120852,198145,770,319767,37.88,62.12,-24.239999999999995,R
MN-07,84455,204766,16645,305866,29.2,70.8,-41.599999999999994,R
MN-08,141009,188755,316,330080,42.76,57.24,-14.480000000000004,R
MO-01,160999,53767,6192,220958,74.96,25.04,49.919999999999995,D
MO-02,135895,173277,6494,315666,43.95,56.05,-12.099999999999994,R
MO-03,96851,180746,0,277597,34.89,65.11,-30.22,R
MO-04,67069,181890,6120,255079,26.94,73.06,-46.120000000000005,R
MO-05,140688,84008,5859,230555,62.61,37.39,25.22,D
MO-06,72253,184865,5774,262892,28.1,71.9,-43.800000000000004,R
MO-07,67485,178592,5870,251947,27.42,72.58,-45.16,R
MO-08,53738,186472,5185,245395,22.37,77.63,-55.25999999999999,R
MS-01,45238,122151,0,167389,27.03,72.97,-45.94,R
MS-02,108285,71884,0,180169,60.1,39.9,20.200000000000003,D
MS-03,54803,132481,0,187284,29.26,70.74,-41.47999999999999,R
MS-04,42876,127813,3569,174258,25.12,74.88,-49.75999999999999,R
MT-01,115265,123102,9593,247960,48.36,51.64,-3.280000000000001,R
MT-02,43480,121979,50213,215672,26.28,73.72,-47.44,R
NC-01,134996,122780,0,257776,52.37,47.63,4.739999999999995,D
NC-02,190714,104155,0,294869,64.68,35.32,29.360000000000007,D
NC-03,82378,166520,0,248898,33.1,66.9,-33.800000000000004,R
